"contrast","energy","homogeneity","correlation","dissimilarity","ASM","Entrophy","class"
"14.307155","0.04297369353","0.4036872474","0.9980335102","2.425753077","0.001846738336","1.151182694","0"
"13.73231613","0.04659223626","0.4244366853","0.9981519844","2.310001089","0.00217083648","1.129818447","0"
"11.25714245","0.05112605092","0.4620055643","0.9985012572","2.028872883","0.002613873083","1.062427351","0"
"6.199283032","0.08603444037","0.6507779258","0.9830029997","1.074040925","0.00740192493","0.6295993991","0"
"12.02380107","0.07822584168","0.5860840127","0.9700503771","1.422854897","0.006119282306","0.7885384069","0"
"7.043695274","0.08012648605","0.586419602","0.9829585399","1.288487311","0.006420253767","0.7542098806","0"
"5.383161195","0.08928497039","0.6282270246","0.9875698611","1.085889367","0.007971805937","0.7295100465","0"
"5.651200235","0.1005201338","0.6622418349","0.9882060814","0.9935690709","0.01010429731","0.7226584317","0"
"3.207058868","0.1133636242","0.7108273295","0.9948063979","0.784057168","0.01285131129","0.6265901216","0"
"3.131147386","0.1113335204","0.7128672418","0.9966600337","0.7870311176","0.01239515277","0.6374341141","0"
"2.73973206","0.1073242624","0.6967340701","0.9979052021","0.8283633333","0.01151849731","0.6356684686","0"
"3.846860542","0.09373725152","0.6513047568","0.9974789836","1.004086813","0.008786672323","0.7171174334","0"
"4.419454744","0.08985466199","0.6356744831","0.9974292883","1.076479753","0.008073860282","0.7393286652","0"
"4.576164836","0.08967260085","0.6325854273","0.9975477159","1.09657759","0.008041175343","0.7087730772","0"
"4.392665521","0.08740077791","0.6209533301","0.9978569604","1.129172645","0.00763889598","0.6922622116","0"
"3.270331065","0.0971300871","0.6707596832","0.9985628298","0.9360174649","0.009434253819","0.6228757949","0"
"3.918846221","0.09303326551","0.6497490957","0.9984473699","1.032467194","0.008655188492","0.6748474763","0"
"5.582960406","0.08760286052","0.6168029923","0.997973475","1.212315371","0.007674261171","0.7829856454","0"
"3.957000857","0.09710551393","0.6592731916","0.9986694043","1.007231244","0.009429480836","0.7727049784","0"
"3.048629757","0.09844243383","0.6740905853","0.999074401","0.9029630577","0.009690912779","0.7076892866","0"
